Код;Коротка назва;Колір;Іконка;Детальний опис
41030600;Субвенція на виплату допомоги сім'ям з дітьми;;;Субвенція з державного бюджету місцевим бюджетам на виплату допомоги сім'ям з дітьми, малозабезпеченим сім'ям, інвалідам з дитинства, дітям-інвалідам та тимчасової державної допомоги дітям 
41030700;;;;Позицію виключено
41030700;Субвенція бюджету АРК (природоохоронний захід);;;Субвенція з державного бюджету бюджету Автономної Республіки Крим для здійснення природоохоронного заходу з розроблення матеріалів до проекту зміни меж та розширення території Ялтинського гірсько-лісового природного заповідника
41030800;Субвенція  місцевим бюджетам (субсидій на оплату електроенергії);;;Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот  
41030900;Субвенціямісцевим бюджетам на надання пільг (послуги зв'язку);;;Субвенція з державного бюджету місцевим бюджетам на надання пільг з послуг зв'язку, інших передбачених законодавством пільг (крім пільг на одержання ліків, зубопротезування, оплату електроенергії, природного і скрапленого газу на побутові потреби, твердого та рідкого пічного побутового палива, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот), на компенсацію втрати частини доходів у зв'язку з відміною податку з власників транспортних засобів та інших самохідних машин і механізмів та відповідним збільшенням ставок акцизного податку з пального і на компенсацію за пільговий проїзд окремих категорій громадян
41031000;Субвенція місцевим бюджетам на субсидії;;;Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на придбання твердого та рідкого пічного побутового палива і скрапленого газу
41031200;;;;Позицію виключено 
41031200;Субвенція міському бюджету м. Івано-Франківськ (відзначення 350-річчя);;;Субвенція з державного бюджету міському бюджету міста Івано-Франківська на відзначення 350-річчя міста Івано-Франківська
41031300;;;;Позицію виключено 
41031400;;;;Позицію виключено
41031400;Субвенція на реформування системи надання адміністративних послуг;;;Субвенція з державного бюджету місцевим бюджетам на фінансування заходів з реформування системи надання адміністративних послуг
41031500;Субвенція для радіаційного та соціального захисту м. Жовті Води ;;;Субвенція з державного бюджету міському бюджету міста Жовті Води на виконання заходів щодо радіаційного та соціального захисту населення міста Жовті Води
41031600;Субвенція на будівництво ПЕТ-КТ центру (Донецька обл.);;;Субвенція з державного бюджету обласному бюджету Донецької області на будівництво ПЕТ-КТ центру, капітальний ремонт і реконструкцію лікарняних споруд та закупівлю високовартісного медичного обладнання для Донецького обласного клінічного територіального медичного об'єднання
41031700;Субвенція на придбання медичного автотранспорту;;;Субвенція з державного бюджету місцевим бюджетам на придбання медичного автотранспорту та обладнання для закладів охорони здоров'я
41031800;;;;Позицію виключено 
41031800;Субвенція на придбання медичного обладнання;;;Субвенція з державного бюджету місцевим бюджетам на придбання медичного обладнання (мамографічного, рентгенологічного та апаратів ультразвукової діагностики) вітчизняного виробництва
41031900;"Субвенція на функціонування ""Київського міського центру серця""";;;"Субвенція з державного бюджету міському бюджету міста Києва на забезпечення функціонування Київської міської клінічної лікарні ""Київський міський центр серця"
41032000;Субвенція на виконання заходів із запобігання аваріям (м. Славутич);;;Субвенція з державного бюджету міському бюджету міста Славутича на виконання заходів із запобігання аваріям та техногенним катастрофам у житлово-комунальному господарстві міста Славутича 
41032100;Субвенція місцевим бюджетам;;;Субвенція з державного бюджету місцевим бюджетам на відшкодування частини відсоткових ставок по залучених кредитах на оновлення парку автобусів та тролейбусів приймаючих міст по підготовці до проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу
41032200;Субвенція Донецької області на підготовку спортивних об'єктів;;;Субвенція з державного бюджету місцевим бюджетам Донецької області на підготовку спортивних об'єктів, на яких проводитиметься чемпіонат світу з легкої атлетики у 2013 році
41032300;Субвенція на погашення кредиту за медичне обладнання;;;Субвенція з державного бюджету місцевим бюджетам на погашення кредиторської заборгованості за медичне обладнання, придбане в 2011 році за рахунок субвенції з державного бюджету місцевим бюджетам на придбання витратних матеріалів та медичного обладнання для закладів охорони здоров'я
41032400;Субвенція на виконання програм розвитку регіонів ;;;Субвенція з місцевого бюджету державному бюджету на виконання програм соціально-економічного та культурного розвитку регіонів
41032500;;;;Позицію виключено 
41032600;;;;Позицію виключено 
41032600;Субвенція на придбання медикаментів;;;Субвенція з державного бюджету місцевим бюджетам на придбання медикаментів та виробів медичного призначення для забезпечення швидкої медичної допомоги
41032700;;;;Позицію виключено 
41032800;Субвенція на ремонт автомобільної дороги (м.Світловодська );;;Субвенція з державного бюджету міському бюджету міста Світловодська Кіровоградської області на ремонт автомобільної дороги по вул. Б. Хмельницького
41032900;;;;Позицію виключено
41033000;;;;Позицію виключено
41033000;Субвенція для сплати заборгованості за медичне обладнання;;;Субвенція з державного бюджету місцевим бюджетам для сплати заборгованості за поставлене у 2012 році медичне обладнання вітчизняного виробництва
41033100;Субвенція на реформування системи охорони здоров'я;;;Субвенція з державного бюджету місцевим бюджетам на підтримку реформування системи охорони здоров'я (придбання медичного автотранспорту, автотранспорту, техніки, інвентарю та медичного обладнання для центрів первинної медичної (медико-санітарної) допомоги) у Вінницькій, Дніпропетровській, Донецькій областях та м. Києві
41033200;;;;Позицію виключено 
41033200;;;;Позицію виключено
41033300;;;;Позицію виключено
41033400;;;;Позицію виключено 
41033400;;;;Позицію виключено
41033400;Субвенція бюджету м. Дніпропетровська (будівництво дороги);;;Субвенція з державного бюджету бюджету м. Дніпропетровська для продовження будівництва автомобільної дороги в м. Дніпропетровську на ділянці від Кайдацького шляху до автомобільної дороги Київ - Луганськ - Ізварине, у тому числі оплату виконаних у 2012 році робіт
41033500;;;;Позицію виключено
41033600;Субвенція міському бюджету міста Києва (музефікація);;;"Субвенція з державного бюджету міському бюджету міста Києва на проведення консервації та сучасної музеєфікації, завершення археологічних досліджень Старокиївської гори із залишками фундаменту Десятинної церкви території пам'ятки археології національного значення ""Дитинець стародавнього Києва VIII - X ст. з фундаментом Десятинної церкви X ст."
41033700;Субвенція місцевим бюджетам (заклади охорони здоров'я);;;Субвенція з державного бюджету місцевим бюджетам на придбання витратних матеріалів для закладів охорони здоров'я та лікарських засобів для інгаляційної анестезії
41033800;;;;Позицію виключено
41033900;;;;Позицію виключено
41033900;;;;Позицію виключено
41034100;;;;Позицію виключено 
41034000;Субвенція обласному бюджету Харківської області (придбання ліків);;;Субвенція з державного бюджету обласному бюджету Харківської області на придбання лікарських засобів та виробів медичного призначення для Обласної клінічної лікарні - центру екстреної медичної допомоги та медицини катастроф
41034100;Субвенція обласному бюджету Тернопільської області;;;Субвенція з державного бюджету обласному бюджету Тернопільської області на продовження будівництва житлових будинків у м. Почаєві Кременецького району з метою відселення сторонніх осіб з території Свято-Успенської Почаївської Лаври
41034200;;;;Позицію виключено
41034300;Субвенція з державного бюджету місцевим бюджетам;;;"Субвенція з державного бюджету місцевим бюджетам на фінансування ремонту приміщень управлінь праці та соціального захисту виконавчих органів міських (міст республіканського в Автономній Республіці Крим і обласного значення), районних у містах Києві і Севастополі та районних у містах рад для здійснення заходів з виконання спільного із Світовим банком проекту ""Вдосконалення системи соціальної допомоги"""
41034400;Субвенція на будівництво;;;Субвенція з державного бюджету місцевим бюджетам на будівництво, реконструкцію, ремонт та утримання вулиць і доріг комунальної власності у населених пунктах 
41034500;Субвенція на розвиток окремих територій ;;;Субвенція з державного бюджету місцевим бюджетам на здійснення заходів щодо соціально-економічного розвитку окремих територій
41034600;Субвенція на розвиток соціально-економічної сфери м. Севастополя;;;Субвенція державного бюджету місцевим бюджетам на розвиток соціально-економічної сфери міста Севастополя та інших населених пунктів, в яких дислокуються військові формування Чорноморського флоту Російської Федерації на території України 
41034700;;;;Позицію виключено 
41034700;;;;Позицію виключено
41034700;Субвенція Шацькому районному бюджету на ремонту доріг;;;Субвенція з державного бюджету районному бюджету Шацького району Волинської області для продовження будівництва та капітального ремонту доріг Шацьк - Світязь - Залісся - Пульмо - Шацьк, в тому числі на оплату виконаних у 2012 році робіт 
41034800;Субвенція місцевим бюджетам (відшкодування вартості ліків);;;Субвенція з державного бюджету місцевим бюджетам на часткове відшкодування вартості лікарських засобів для лікування осіб з гіпертонічною хворобою
41034900;;;;Позицію виключено 
41034900;;;;Позицію виключено
41035000;Інші субвенції ;;;Інші субвенції
41035100;Субвенція місцевим бюджетам (заходи компенсації ризику);;;Субвенція з державного бюджету місцевим бюджетам на фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження  
41035200;Субвенція на проведення видатків місцевих бюджетів;;;Субвенція на проведення видатків місцевих бюджетів, що враховуються при визначенні обсягу міжбюджетних трансфертів 
41035300;;;;Позицію виключено
41035400;;;;Позицію виключено 
41035400;;;;Позицію виключено
41035500;;;;Позицію виключено 
41035500;Субвенція місцевим бюджетам на проведення заходів;;;Субвенція з державного бюджету місцевим бюджетам на проведення заходів з відзначення 200-річчя від дня народження Тараса Шевченка, 120-річчя від дня народження Олександра Довженка, заходів з вшанування пам'яті у зв'язку з 70-ми роковинами Корюківської трагедії
41035600;Субвенція на проведення видатків місцевих бюджетів;;;Субвенція на проведення видатків місцевих бюджетів, що не враховуються при визначенні обсягу міжбюджетних трансфертів 
41035800;Субвенція на соціальну допомогу для дітей-сиріт;;;"Субвенція з державного бюджету місцевим бюджетам на виплату державної соціальної допомоги на дітей-сиріт та дітей, позбавлених батьківського піклування, грошового забезпечення батькам-вихователям і прийомним батькам за надання соціальних послуг у дитячих будинках сімейного типу та прийомних сім'ях за принципом ""гроші ходять за дитиною"" "
41036300;Субвенція місцевим бюджетам на фінансування Програм;;;Субвенція з державного бюджету місцевим бюджетам на фінансування Програм - переможців Всеукраїнського конкурсу проектів та програм розвитку місцевого самоврядування 
41036500;;;;Позицію виключено 
41036500;Субвенція на капітальний ремонт систем водопостачання;;;Субвенція з державного бюджету місцевим бюджетам на капітальний ремонт систем централізованого водопостачання та водовідведення
41036600;Субвенція місцевим бюджетам (погашення боргу теплова енергія);;;Субвенція з державного бюджету місцевим бюджетам на погашення заборгованості з різниці в тарифах на теплову енергію, послуги з централізованого водопостачання та водовідведення, що вироблялися, транспортувалися та постачалися населенню, яка виникла у зв'язку з невідповідністю фактичної вартості теплової енергії та послуг з централізованого водопостачання та водовідведення тарифам, що затверджувалися та/або погоджувалися органами державної влади чи місцевого самоврядування
41037000;Субвенція на проведення виборів депутатів ВР АРК;;;Субвенція з державного бюджету місцевим бюджетам на проведення виборів депутатів Верховної Ради Автономної Республіки Крим, місцевих рад та сільських, селищних, міських голів 
41037600;Субвенція Київський онкологічний центр;;;Субвенція з державного бюджету міському бюджету міста Києва на забезпечення функціонування Центру ядерної медицини Київського міського клінічного онкологічного центру
41037700;;;;Позицію виключено 
41037700;Субвенція (будівництво метрополітену м. Дніпропетровськ);;;Субвенція з державного бюджету міському бюджету міста Дніпропетровська на завершення будівництва метрополітену у м. Дніпропетровську
41037800;;;;Позицію виключено
41037900;;;;Позицію виключено
41038000;;;;Позицію виключено
41038100;;;;Позицію виключено
41038200;;;;Позицію виключено
41038300;;;;Позицію виключено
41038400;;;;Позицію виключено
41038500;;;;Позицію виключено
41038600;;;;Позицію виключено
41038700;;;;Позицію виключено
41038800;;;;Позицію виключено
41038900;;;;Позицію виключено
41039000;;;;Позицію виключено
41039100;;;;Позицію виключено
41039200;;;;Позицію виключено
41039300;;;;Позицію виключено
41039400;;;;Позицію виключено
41039500;;;;Позицію виключено
41039600;;;;Позицію виключено
41039800;Субвенція міському бюджету Києва (Бортницька станція аерації);;;Субвенція з державного бюджету міському бюджету міста Києва для здійснення заходів з деодорації на спорудах Бортницької станції аерації
42000000;Від урядів зарубіжних країн та міжнародних організацій;;;Від урядів зарубіжних країн та міжнародних організацій 
42010000;Кошти;;;Кошти, отримані від секретаріату ООН, НАТО, ЄС, ОБСЄ або іншої міжнародної організації за участь України в міжнародних операціях з підтримання миру і безпеки,
42020000;Гранти (дарунки);;;Гранти (дарунки), що надійшли до бюджетів усіх рівнів  
42030000;Надходження від ЄС (програми допомоги) ;;;Надходження в рамках програм допомоги Європейського Союзу 
42030100;Надходження від ЄС (секторальна підтримка);;;Надходження в рамках програм секторальної бюджетної підтримки Європейського Союзу 
42030200;Інша допомога надана ЄС;;;Інша допомога, надана Європейським Союзом  
50000000;Цільові фонди;;;Цільові фонди 
50020000;;;;Позицію виключено 
50020100;;;;Позицію виключено 
50020200;;;;Позицію виключено 
50020300;;;;Позицію виключено 
50020400;;;;Позицію виключено 
50020500;;;;Позицію виключено 
50030000;;;;Позицію виключено 
50030100;;;;Позицію виключено 
50030200;;;;Позицію виключено 
50030300;;;;Позицію виключено 
50030400;;;;Позицію виключено 
50030500;;;;Позицію виключено 
50040000;;;;Позицію виключено 
50040100;;;;Позицію виключено
50040200;;;;Позицію виключено
50040300;;;;Позицію виключено
50040400;;;;Позицію виключено
50040500;;;;Позицію виключено
50060000;;;;Позицію виключено
50070000;Надходження до Фонду соцзахисту інвалідів;;;Надходження до Фонду соціального захисту інвалідів 
50100000;Інші фонди;;;Інші фонди 
50110000;Цільові фонди Верховної ради АРК;;;Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади
11024700;Податок на дохід з державних лотерей»;;;Податок на дохід, який сплачують суб'єкти, що здійснюють діяльність з випуску та проведення державних лотерей
13060000;Рентна плата за користування радіочастотним ресурсом України»;;;
14021300;Електрична енергія;;;
14022300;Виноробна продукція (при придбанні акцизних марок);;;
14040000;Акцизний податок з роздрібної торгівлі;;;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів
15010800;Спеціальне мито;;;
15010900;Антидемпінгове мито;;;
15011000;Компенсаційне мито;;;
15011100;Додатковий імпортний збір;;;
18010300;Податок на нерухоме майно, сплачений фізичними особами;;;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості
18010400;Податок на нерухоме майно, сплачений юридичними особами;;;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості»
18010500;Земельний податок з юридичних осіб;;;
18010600;Орендна плата з юридичних осіб;;;
18010700;Земельний податок з фізичних осіб;;;
18010800;Реструктурована сума заборгованості з плати за землю;;;
18010900;Орендна плата з фізичних осіб;;;
18011000;Транспортний податок з фізичних осіб;;;
18011100;Транспортний податок з юридичних осіб;;;
18050500;Єдиний податок з сільськогосподарських товаровиробників;;;Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків
22012600;Адміністративний збір за державну реєстрацію;;;Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень
22012700;Плата за надання відомостей з Єдиного державного реєстру;;;Плата за надання відомостей з Єдиного державного реєстру юридичних осіб та фізичних осіб - підприємців, за одержання інформації з інших державних реєстрів, держателем яких є центральний орган виконавчої влади з формування та забезпечення реалізації державної правової політики та центральний орган виконавчої влади, що забезпечує реалізацію державної політики у сферах державної реєстрації актів цивільного стану, державної реєстрації речових прав на нерухоме майно, державної реєстрації юридичних осіб та фізичних осіб - підприємців
22012800;Плата за оприлюднення повідомлення на офіційному веб-сайті;;;Плата за оприлюднення повідомлення на офіційному веб-сайті центрального органу виконавчої влади, що реалізує державну політику у сфері державної реєстрації юридичних осіб та фізичних осіб - підприємців
25020400;Кошти, отримані від реалізації майнових прав;;;Кошти, отримані від реалізації майнових прав на фільми, вихідні матеріали фільмів та фільмокопій, створені за бюджетні кошти як за державним замовленням, так і на умовах фінансової підтримки
41031300;Субвенція з державного бюджету місцевим бюджетам;;;Субвенція з державного бюджету місцевим бюджетам на проекти ліквідації підприємств вугільної та торфодобувної промисловості і утримання водовідливних комплексів у безпечному режимі на умовах співфінансування (50 відсотків)
41033500;Субвенція на підготовку робітничих кадрів з державного бюджету місцевим бюджетам;;;
41033900;Освітня субвенція з державного бюджету місцевим бюджетам;;;
41034200;Медична субвенція з державного бюджету місцевим бюджетам;;;
41034900;Субвенція з державного бюджету на реформування регіональних систем охорони здоров'я;Субвенція з державного бюджету місцевим бюджетам на реформування регіональних систем охорони здоров'я для здійснення заходів з виконання спільного з Міжнародним банком реконструкції та розвитку проекту;Поліпшення охорони здоров'я на службі у людей
50080000;Надходження до цільового фонду для забезпечення оборони і безпеки держави;;;
50080100;Конфісковані кошти та кошти від реалізації конфіскованого майна;;;Конфісковані кошти та кошти від реалізації конфіскованого майна, які були привласнені корупційними методами
