Code;Short name;Color;Icon;Details
41030200;Subvention from the state budget of the regional budget of Ivano-Frankivsk region to implement environmental protection measures of removal, transportation and disposal of hazardous waste in the area of hexachlorobenzene conservation Dombrowski career in Kalush district;;;Subvention from the state budget of the regional budget of Ivano-Frankivsk region to implement environmental protection measures of removal, transportation and disposal of hazardous waste in the area of hexachlorobenzene conservation Dombrowski career in Kalush district
41030300;Subvention for the maintenance of common amenities or elimination of the negative effects of common amenities;;;Subvention for the maintenance of common amenities or elimination of the negative effects of common amenities
41030400;Subventions from other budgets for implementation of investment projects;;;Subventions from other budgets for implementation of investment projects
41030600;Subvention from the state budget to local budgets for assistance to families with children, income families, disabled since childhood, disabled children and a temporary state care for children;;;Subvention from the state budget to local budgets for assistance to families with children, income families, disabled since childhood, disabled children and a temporary state care for children
41030700;Position excluded;;;Position excluded
41030700;Subvention from the state budget to the budget of the Autonomous Republic of Crimea for the implementation of environmental protection measures on development of material to the project of changes of borders and extension of the territory of Yalta mountain-forest nature reserve;;;Subvention from the state budget to the budget of the Autonomous Republic of Crimea for the implementation of environmental protection measures on development of material to the project of changes of borders and extension of the territory of Yalta mountain-forest nature reserve
41030800;Subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water supply and drainage, rent (maintenance of houses and buildings and houses adjoining areas), removal of domestic waste and liquid sewage;;;Subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water supply and drainage, rent (maintenance of houses and buildings and houses adjoining areas), removal of domestic waste and liquid sewage
41030900;Subvention from the state budget to local budgets for provision of benefits for communication services, other statutory benefits (except benefits to obtain drugs, prosthetic dentistry, for electricity, natural and liquefied gas for domestic purposes, solid and liquid stove fuel, heat , water supply and drainage, rent (maintenance of houses and buildings and houses adjoining areas), removal of domestic waste and liquid sewage, to compensate the loss of part of income due to the abolition of tax on vehicle owners and other self-propelled machinery and a corresponding increase of excise tax on fuel and compensation for price reductions of fare of certain categories of citizens;;;Subvention from the state budget to local budgets for provision of benefits for communication services, other statutory benefits (except benefits to obtain drugs, prosthetic dentistry, for electricity, natural and liquefied gas for domestic purposes, solid and liquid stove fuel, heat , water supply and drainage, rent (maintenance of houses and buildings and houses adjoining areas), removal of domestic waste and liquid sewage, to compensate the loss of part of income due to the abolition of tax on vehicle owners and other self-propelled machinery and a corresponding increase of excise tax on fuel and compensation for price reductions of fare of certain categories of citizens
41031000;Subvention from the state budget to local budgets for provision of benefits and housing subsidies for purchasing solid and liquid household furnace fuel and liquefied gas;;;Subvention from the state budget to local budgets for provision of benefits and housing subsidies for purchasing solid and liquid household furnace fuel and liquefied gas
41031200;Position excluded;;;Position excluded
41031200;Subvention from the state budget to the city budget of the city of Ivano-Frankivsk to mark the 350th anniversary of the city of Ivano-Frankivsk;;;Subvention from the state budget to the city budget of the city of Ivano-Frankivsk to mark the 350th anniversary of the city of Ivano-Frankivsk
41031300;Position excluded;;;Position excluded
41031400;Position excluded;;;Position excluded
41031400;Subvention from the state budget to local budgets for financing measures to reform the system of administrative services;;;Subvention from the state budget to local budgets for financing measures to reform the system of administrative services
41031500;Subvention from the state budget to the city budget of the town of Zhovti Vody to implement measures for radiation and social protection of population of the town of  Zhovti Vody;;;Subvention from the state budget to the city budget of the town of Zhovti Vody to implement measures for radiation and social protection of population of the town of  Zhovti Vody
41031600;Subvention from the state budget to regional budget of Donetsk region for the construction of PET-CT center, repair and renovation of hospital buildings and purchase of expensive medical equipment to the Donetsk Regional Clinical Territorial Medical Association;;;Subvention from the state budget to regional budget of Donetsk region for the construction of PET-CT center, repair and renovation of hospital buildings and purchase of expensive medical equipment to the Donetsk Regional Clinical Territorial Medical Association
41031700;Subvention from the state budget to local budgets for the purchase of medical vehicles and equipment for health facilities;;;Subvention from the state budget to local budgets for the purchase of medical vehicles and equipment for health facilities
41031800;Position excluded;;;Position excluded
41031800;Subvention from the state budget to local budgets for the purchase of medical equipment (mammographic, X-ray and ultrasonic diagnostic) of domestic production;;;Subvention from the state budget to local budgets for the purchase of medical equipment (mammographic, X-ray and ultrasonic diagnostic) of domestic production
41031900;"Subvention from the state budget to the city budget of the city of Kyiv for the operation of the Kyiv City Clinical Hospital ""Kyiv City Heart Center""";;;"Subvention from the state budget to the city budget of the city of Kyiv for the operation of the Kyiv City Clinical Hospital ""Kyiv City Heart Center"""
41032000;Subvention from the state budget of Slavutych city budget to implement measures to prevent accidents and man-made disasters in housing of the town of Slavutych;;;Subvention from the state budget of Slavutych city budget to implement measures to prevent accidents and man-made disasters in housing of the town of Slavutych
41032100;Subvention from the state budget to local budgets for compensation of interest rates on loans borrowed for upgrading of buses and trolleybuses host cities in preparation for holding in Ukraine finals of the 2012 European football championship;;;Subvention from the state budget to local budgets for compensation of interest rates on loans borrowed for upgrading of buses and trolleybuses host cities in preparation for holding in Ukraine finals of the 2012 European football championship
41032200;Subvention from the state budget to local budgets of Donetsk region for preparation of sports facilities for World Championships in Athletics in 2013;;;Subvention from the state budget to local budgets of Donetsk region for preparation of sports facilities for World Championships in Athletics in 2013
41032300;Subvention from the state budget to local budgets to repay accounts payable for medical equipment, purchased in 2011 by subventions from the state budget to local budgets for the purchase of supplies and medical equipment for health care institutions;;;Subvention from the state budget to local budgets to repay accounts payable for medical equipment, purchased in 2011 by subventions from the state budget to local budgets for the purchase of supplies and medical equipment for health care institutions
41032400;Subvention from the state budget of local budgets for socio-economic and cultural development of regions;;;Subvention from the state budget of local budgets for socio-economic and cultural development of regions
41032500;Position excluded;;;Position excluded
41032600;Position excluded;;;Position excluded
41032600;Subvention from the state budget to local budgets for the purchase of medicines and medical devices for ambulance;;;Subvention from the state budget to local budgets for the purchase of medicines and medical devices for ambulance
41032700;Position excluded;;;Position excluded
41032800;Subvention from the state budget to the city budget of the town of Svitlovodsk of  Kirovograd region to repair the road on B. Khmelnitskyi street;;;Subvention from the state budget to the city budget of the town of Svitlovodsk of  Kirovograd region to repair the road on B. Khmelnitskyi street
41032900;Position excluded;;;Position excluded
41033000;Position excluded;;;Position excluded
41032900;Position excluded;;;Position excluded
41033000;Position excluded;;;Position excluded
41033000;Subvention from the state budget to local budgets for the payment of debt for medical equipment of domestic production delivered in 2012;;;Subvention from the state budget to local budgets for the payment of debt for medical equipment of domestic production delivered in 2012
41033100;Subvention from the state budget to local budgets in support of health care reform (purchase of medical vehicles, vehicles, machinery, equipment and medical devices for primary health care centers) in Vinnytsya, Dnipropetrovsk, Donetsk regions and the city of Kyiv;;;Subvention from the state budget to local budgets in support of health care reform (purchase of medical vehicles, vehicles, machinery, equipment and medical devices for primary health care centers) in Vinnytsya, Dnipropetrovsk, Donetsk regions and the city of Kyiv
41033200;Position excluded;;;Position excluded
41033200;Position excluded;;;Position excluded
41033300;Position excluded;;;Position excluded
41033400;Position excluded;;;Position excluded
41033400;Position excluded;;;Position excluded
41033400;Subvention from the state budget city budget of the city of Dnipropetrovsk to continue construction of road in the city of Dnipropetrovsk on the section of Kaidatskyi shlyakh to the highway Kyiv - Lugansk - Izvaryne, including payments for works made in 2012;;;Subvention from the state budget city budget of the city of Dnipropetrovsk to continue construction of road in the city of Dnipropetrovsk on the section of Kaidatskyi shlyakh to the highway Kyiv - Lugansk - Izvaryne, including payments for works made in 2012
41033500;Position excluded;;;Position excluded
41033600;"Subvention from the state budget to the city budget of Kyiv to conduct conservation and modern museumification, the completion of archaeological research of Starokyivska mountain with the remains of basement of the Church of the Tithes territory of monument of archeology of national importance ""Detinets of ancient Kyiv of the VIII - X centuries with the basement of the Church of the Tithes of the X century """;;;"Subvention from the state budget to the city budget of Kyiv to conduct conservation and modern museumification, the completion of archaeological research of Starokyivska mountain with the remains of basement of the Church of the Tithes territory of monument of archeology of national importance ""Detinets of ancient Kyiv of the VIII - X centuries with the basement of the Church of the Tithes of the X century """
41033700;Subvention from the state budget to local budgets for the purchase of supplies for health care facilities and drugs for inhalation anesthesia;;;Subvention from the state budget to local budgets for the purchase of supplies for health care facilities and drugs for inhalation anesthesia
41033800;Position excluded;;;Position excluded
41033900;Position excluded;;;Position excluded
41033900;Position excluded ;;;Position excluded 
41034100;Position excluded;;;Position excluded
41034000;Subvention from the state budget to regional budget of Kharkiv region on the purchase of medicines and medical products for regional hospital - the center of emergency medical aid and disaster medicine;;;Subvention from the state budget to regional budget of Kharkiv region on the purchase of medicines and medical products for regional hospital - the center of emergency medical aid and disaster medicine
41034100;Subvention from the state budget of the regional budget of Ternopil region to continue construction of residential buildings in the town of Pochayiv of Kremenets region for the purpose of resettlement of strangers from the territory of Pochayiv Lavra;;;Subvention from the state budget of the regional budget of Ternopil region to continue construction of residential buildings in the town of Pochayiv of Kremenets region for the purpose of resettlement of strangers from the territory of Pochayiv Lavra
41034300;"Subvention from the state budget to local budgets to finance the repair of the buildings of departments of labor and social protection of the executive bodies of city (cities of republican importance in the Autonomous Republic of Crimea and regional importance), district councils in cities of Kyiv and Sevastopol, city regional councils to implement measures for the implementation of joint World Bank project ""Improvement of Social Assistance """;;;"Subvention from the state budget to local budgets to finance the repair of the buildings of departments of labor and social protection of the executive bodies of city (cities of republican importance in the Autonomous Republic of Crimea and regional importance), district councils in cities of Kyiv and Sevastopol, city regional councils to implement measures for the implementation of joint World Bank project ""Improvement of Social Assistance """
41034400;Subvention from the state budget to local budgets for construction, repair and maintenance of streets and roads of municipal property in settlements;;;Subvention from the state budget to local budgets for construction, repair and maintenance of streets and roads of municipal property in settlements
41034500;Subvention from the state budget to local budgets for implementation of measures for socio-economic development of certain areas;;;Subvention from the state budget to local budgets for implementation of measures for socio-economic development of certain areas
41034600;Subvention of the state budget to local budgets for social and economic development of the areas of Sevastopol and other settlements in which military units of the Black Sea Fleet of Russian Federation deployed in Ukraine;;;Subvention of the state budget to local budgets for social and economic development of the areas of Sevastopol and other settlements in which military units of the Black Sea Fleet of Russian Federation deployed in Ukraine
41034700;Position excluded;;;Position excluded
41034700;Position excluded;;;Position excluded
41034700;Subvention from the state budget to district budget of Shatsk district of Volyn region to continue construction and major repairs of roads Shatsk - Svityaz - Zalissya - Pulmo - Shatsk, including payments for works made in 2012;;;Subvention from the state budget to district budget of Shatsk district of Volyn region to continue construction and major repairs of roads Shatsk - Svityaz - Zalissya - Pulmo - Shatsk, including payments for works made in 2012
41034800;Subvention from the state budget to local budgets for partial reimbursement of medicines to treat people with hypertension;;;Subvention from the state budget to local budgets for partial reimbursement of medicines to treat people with hypertension
41034900;Position excluded;;;Position excluded
41034900;Position excluded;;;Position excluded
41035000;Other subventions;;;Other subventions
41035100;Subvention from the state budget to local budgets for financing of socio-economic compensation for the risk population, living in the surveillance zone;;;Subvention from the state budget to local budgets for financing of socio-economic compensation for the risk population, living in the surveillance zone
41035200;Subvention to conduct the expenditures of local budgets accounted for when determining the amount of intergovernmental transfers;;;Subvention to conduct the expenditures of local budgets accounted for when determining the amount of intergovernmental transfers
41035300;Position excluded;;;Position excluded
41035400;Position excluded;;;Position excluded
41035400;Position excluded;;;Position excluded
41035500;Position excluded;;;Position excluded
41035500;Subvention from the state budget to local budgets for activities to celebrate the 200th anniversary of Taras Shevchenko's birthday, the 120th anniversary of the birth of Alexander Dovzhenko, events to commemorate in connection with the 70th anniversary of the tragedy in Koryukovka;;;Subvention from the state budget to local budgets for activities to celebrate the 200th anniversary of Taras Shevchenko's birthday, the 120th anniversary of the birth of Alexander Dovzhenko, events to commemorate in connection with the 70th anniversary of the tragedy in Koryukovka
41035600;Subvention to conduct local budget expenditures that are not included in determining the amount of intergovernmental transfers;;;Subvention to conduct local budget expenditures that are not included in determining the amount of intergovernmental transfers
41035800;"Subvention from the state budget to local budgets for state social assistance to orphans and children deprived of parental care, financial support for foster parents and adoptive parents for providing social services in children's homes and foster families on a principle "" money follows the child """;;;"Subvention from the state budget to local budgets for state social assistance to orphans and children deprived of parental care, financial support for foster parents and adoptive parents for providing social services in children's homes and foster families on a principle "" money follows the child """
41036300;Subvention from the state budget to local budgets for financing programs - winners of All-Ukrainian contest of projects and programs of local government;;;Subvention from the state budget to local budgets for financing programs - winners of All-Ukrainian contest of projects and programs of local government
41036500;Position excluded;;;Position excluded
41036500;Subvention from the state budget to local budgets for major repairs water supply system and sewerage;;;Subvention from the state budget to local budgets for major repairs water supply system and sewerage
41036600;Subvention from the state budget to local budgets for repayment of the difference in tariffs for heat energy, heating and hot water supply services in the centralized water supply system, which produced, transported and supplied to the population and / or other businesses centralized drinking water supply and sanitation, providing its clients with a centralized water supply and sewage, which arose due to the mismatch of the actual cost of thermal energy and services of centralized water supply, sewage, heating and hot water supply tariff, approved and / or agreed by the government or local government ;;;Subvention from the state budget to local budgets for repayment of the difference in tariffs for heat energy, heating and hot water supply services in the centralized water supply system, which produced, transported and supplied to the population and / or other businesses centralized drinking water supply and sanitation, providing its clients with a centralized water supply and sewage, which arose due to the mismatch of the actual cost of thermal energy and services of centralized water supply, sewage, heating and hot water supply tariff, approved and / or agreed by the government or local government 
41037000;Subvention from the state budget to local budgets for elections of deputies of the Verkhovna Rada of the Autonomous Republic of Crimea, local councils and village, town and city mayors;;;Subvention from the state budget to local budgets for elections of deputies of the Verkhovna Rada of the Autonomous Republic of Crimea, local councils and village, town and city mayors
41037600;Subvention from the state budget to the city budget of Kyiv for the operation of Nuclear Medicine Center of Kyiv City Clinical Cancer Center;;;Subvention from the state budget to the city budget of Kyiv for the operation of Nuclear Medicine Center of Kyiv City Clinical Cancer Center
41037700;Position excluded;;;Position excluded
41037700;Subvention from the state budget of Dnipropetrovsk city budget to complete the construction of the subway in the city of Dnipropetrovsk;;;Subvention from the state budget of Dnipropetrovsk city budget to complete the construction of the subway in the city of Dnipropetrovsk
41037800;Position excluded;;;Position excluded
41037900;Position excluded;;;Position excluded
41038000;Position excluded;;;Position excluded
41038100;Position excluded;;;Position excluded
41038200;Position excluded;;;Position excluded
41038300;Position excluded;;;Position excluded
41038400;Position excluded;;;Position excluded
41038500;Position excluded;;;Position excluded
41038600;Position excluded;;;Position excluded
41038700;Position excluded;;;Position excluded
41038800;Position excluded;;;Position excluded
41038900;Position excluded;;;Position excluded
41039000;Position excluded;;;Position excluded
41039100;Position excluded;;;Position excluded
41039200;Position excluded;;;Position excluded
41039300;Position excluded;;;Position excluded
41039400;Position excluded;;;Position excluded
41039500;Position excluded;;;Position excluded
41039600;Position excluded;;;Position excluded
41039800;Subvention from the state budget to the city budget of the city of Kyiv for the implementation of measures to remove bad smell on the buildings of Bortnychi WWTP;;;Subvention from the state budget to the city budget of the city of Kyiv for the implementation of measures to remove bad smell on the buildings of Bortnychi WWTP
42000000;From governments of foreign countries and international organisations;;;From governments of foreign countries and international organisations
42010000;Funds, received from UN Secretariat, NATO, EU, OSCE and other international organizations for participation of Ukraine in international peacekeeping and security operations;;;Funds, received from UN Secretariat, NATO, EU, OSCE and other international organizations for participation of Ukraine in international peacekeeping and security operations
42020000;Grants (gifts) received by all budgets;;;Grants (gifts) received by all budgets
42030000;Receipts within the programs of help of the European Union;;;Receipts within the programs of help of the European Union
42030100;Receipts within the program of sectoral support of budget of the European Union;;;Receipts within the program of sectoral support of budget of the European Union
42030200;Other assistance provided by the European Union;;;Other assistance provided by the European Union
50000000;Trust Funds;;;Trust Funds
50020000;Position excluded;;;Position excluded
50020100;Position excluded;;;Position excluded
50020200;Position excluded;;;Position excluded
50020300;Position excluded;;;Position excluded
50020400;Position excluded;;;Position excluded
50020500;Position excluded;;;Position excluded
50030000;Position excluded;;;Position excluded
50030100;Position excluded;;;Position excluded
50030200;Position excluded;;;Position excluded
50030300;Position excluded;;;Position excluded
50030400;Position excluded;;;Position excluded
50030500;Position excluded;;;Position excluded
50040000;Position excluded;;;Position excluded
50040100;Position excluded;;;Position excluded
50040200;Position excluded;;;Position excluded
50040300;Position excluded;;;Position excluded
50040400;Position excluded;;;Position excluded
50040500;Position excluded;;;Position excluded
50060000;Position excluded;;;Position excluded
50070000;Receipts to the Social Protection of Disabled People;;;Receipts to the Social Protection of Disabled People
50100000;Other funds;;;Other funds
50110000;Trust Funds formed by the Supreme Council of the Autonomous Republic of Crimea, local governments and local authorities;;;Trust Funds formed by the Supreme Council of the Autonomous Republic of Crimea, local governments and local authorities
11024700;Income tax, paid by entities engaged in the production and conduct of state lotteries;;;Income tax, paid by entities engaged in the production and conduct of state lotteries
13060000;;;;
14021300;;;;
14022300;;;;
14040000;Excise tax from sale of retail excise goods by business entity;;;Excise tax from sale of retail excise goods by business entity
15010800;;;;
15010900;;;;
15011000;;;;
15011100;;;;
18010300;Tax on immovable property, other than land, paid by individuals who are the owners of residential real estate;;;Tax on immovable property, other than land, paid by individuals who are the owners of residential real estate
18010400;Tax on immovable property, other than land, paid by legal entities that are the owners of residential real estate ;;;Tax on immovable property, other than land, paid by legal entities that are the owners of residential real estate 
18010500;;;;
18010600;;;;
18010700;;;;
18010800;;;;
18010900;;;;
18011000;;;;
18011100;;;;
18050500;Single tax on agricultural producers, whose share of agricultural commodity production for the previous tax (reporting) year equals or exceeds 75 percent;;;Single tax on agricultural producers, whose share of agricultural commodity production for the previous tax (reporting) year equals or exceeds 75 percent
22012600;Administrative fee for state registration of property rights to immovable property and their encumbrances;;;Administrative fee for state registration of property rights to immovable property and their encumbrances
22012700;Fee for providing information from the Unified State Register of Legal Entities and individuals - entrepreneurs by obtaining information from other public registers, the holder of which is the central executive body for the formation and implementation of state policies and central executive body to realize the government State policy in the sphere of civil registration, state registration of rights to immovable property, the state registration of legal entities and individuals - entrepreneurs;;;Fee for providing information from the Unified State Register of Legal Entities and individuals - entrepreneurs by obtaining information from other public registers, the holder of which is the central executive body for the formation and implementation of state policies and central executive body to realize the government State policy in the sphere of civil registration, state registration of rights to immovable property, the state registration of legal entities and individuals - entrepreneurs
22012800;Fee for promulgation of notice to the official website of the central executive body that implements the state policy in the sphere of state registration of legal entities and individuals - entrepreneurs;;;Fee for promulgation of notice to the official website of the central executive body that implements the state policy in the sphere of state registration of legal entities and individuals - entrepreneurs
25020400;Funds received from the sale of property rights to movies, raw materials of movies and copies of movies, created both on the budget costs as the state order and on conditions of financial support;;;Funds received from the sale of property rights to movies, raw materials of movies and copies of movies, created both on the budget costs as the state order and on conditions of financial support
41031300;Subvention from the state budget to local budgets for projects of liquidation of enterprises of coal and peat industry and the maintenance of drainage facilities in safe mode on conditions of co-financing (50 percent);;;Subvention from the state budget to local budgets for projects of liquidation of enterprises of coal and peat industry and the maintenance of drainage facilities in safe mode on conditions of co-financing (50 percent)
41033500;;;;
41033900;;;;
41034200;;;;
41034900;Subvention from the state budget to local budgets for reforming regional health care systems to implement the measures to conduct jointly with the International Bank for Reconstruction and Development project;;;Subvention from the state budget to local budgets for reforming regional health care systems to implement the measures to conduct jointly with the International Bank for Reconstruction and Development project
50080000;;;;
50080100;Confiscated funds and funds from the sale of confiscated property that have been appropriated by corrupt methods;;;Confiscated funds and funds from the sale of confiscated property that have been appropriated by corrupt methods
41035700;Subvention from the state budget to the regional budget of Lviv region on completion of the reconstruction of Lviv regional perinatal center;;;Subvention from the state budget to the regional budget of Lviv region on completion of the reconstruction of Lviv regional perinatal center
41035900;Subvention from the state budget to local budgets for restoration (construction, repair, reconstruction) of infrastructure in Donetsk and Lugansk regions;;;Subvention from the state budget to local budgets for restoration (construction, repair, reconstruction) of infrastructure in Donetsk and Lugansk regions
41036000;Subvention from the state budget to local budgets to purchase new tram cars of domestic production for municipal electric;;;Subvention from the state budget to local budgets to purchase new tram cars of domestic production for municipal electric
41036100;Subvention from the state budget to local budgets for construction (purchase) of housing for families of fallen soldiers who took part in anti-terrorist operations and for the disabled servicemen groups I - II who took part in this operation and need to improve housing conditions;;;Subvention from the state budget to local budgets for construction (purchase) of housing for families of fallen soldiers who took part in anti-terrorist operations and for the disabled servicemen groups I - II who took part in this operation and need to improve housing conditions
41036200;Subvention from the state budget to regional budget of the Odesa region for the construction of medical building of the Odesa Regional Clinical Hospital;;;Subvention from the state budget to regional budget of the Odesa region for the construction of medical building of the Odesa Regional Clinical Hospital
41039700;Subvention from the state budget to local budgets for partial funding of youth sports schools,that till 2015 received support from the Social Insurance Fund on temporary disability;;;Subvention from the state budget to local budgets for partial funding of youth sports schools,that till 2015 received support from the Social Insurance Fund on temporary disability
41039900;"Subvention from the state budget of Dnipropetrovsk city budget to co-finance the project ""Completion of Construction of the Metro in the city of Dnipropetrovsk""";;;"Subvention from the state budget of Dnipropetrovsk city budget to co-finance the project ""Completion of Construction of the Metro in the city of Dnipropetrovsk"""
21081500;Administrative fines and penalties for violation of legislation on production and circulation of alcoholic beverages and tobacco products;;;Administrative fines and penalties for violation of legislation on production and circulation of alcoholic beverages and tobacco products
22012900;The fee for shortening of terms of the provision of state registration of property rights to immovable property and their encumbrances and state registration of legal entities and individuals - entrepreneurs, as well as fees paid to provide other services associated with the state registration of property rights to immovable property and their encumbrances and state registration of legal entities and individuals - entrepreneurs;;;The fee for shortening of terms of the provision of state registration of property rights to immovable property and their encumbrances and state registration of legal entities and individuals - entrepreneurs, as well as fees paid to provide other services associated with the state registration of property rights to immovable property and their encumbrances and state registration of legal entities and individuals - entrepreneurs
